timestamp,current,temperature,anomaly
2026-07-17 14:13:50,18.27,56.52,True
2026-07-17 14:13:51,18.85,57.72,True
2026-07-17 14:13:52,19.43,58.96,True
2026-07-17 14:13:53,19.88,60.11,True
2026-07-17 14:13:54,20.38,61.27,True
2026-07-17 14:13:55,20.75,62.57,True
2026-07-17 14:13:56,21.09,63.75,True
2026-07-17 14:13:57,21.36,64.98,True
2026-07-17 14:13:58,21.68,66.14,True
2026-07-17 14:13:59,22.05,67.52,True
2026-07-17 14:14:00,22.37,68.81,True
2026-07-17 14:14:01,22.62,70.49,True
2026-07-17 14:14:02,22.91,71.47,True
2026-07-17 14:14:03,23.37,72.93,True
2026-07-17 14:14:04,23.81,74.47,True
2026-07-17 14:14:05,24.1,75.81,True
2026-07-17 14:14:06,24.43,77.08,True
2026-07-17 14:14:07,24.96,78.77,True
2026-07-17 14:14:08,25.29,79.91,True
2026-07-17 14:14:09,25.83,81.11,True
2026-07-17 14:14:10,26.38,82.9,True
2026-07-17 14:14:11,26.9,84.32,True
2026-07-17 14:14:12,27.39,85.69,True
2026-07-17 14:14:13,27.72,86.73,True
2026-07-17 14:14:14,28.11,87.78,True
2026-07-17 14:14:15,28.43,89.23,True
2026-07-17 14:14:16,28.99,90.46,True
2026-07-17 14:14:17,29.55,92.12,True
2026-07-17 14:14:18,29.82,93.56,True
2026-07-17 14:14:19,30.23,94.74,True
2026-07-17 14:14:20,30.74,96.33,True
2026-07-17 14:14:21,31.22,97.23,True
2026-07-17 14:14:22,31.49,98.96,True
2026-07-17 14:14:23,31.8,100.11,True
2026-07-17 14:14:24,32.18,101.45,True
2026-07-17 14:14:25,32.46,103.15,True
2026-07-17 14:14:26,32.72,104.83,True
2026-07-17 14:14:27,33.13,106.06,True
2026-07-17 14:14:28,33.4,106.9,True
2026-07-17 14:14:29,33.83,108.1,True
2026-07-17 14:14:30,34.26,109.19,True
2026-07-17 14:14:31,34.83,110.27,True
2026-07-17 14:14:32,35.36,111.65,True
2026-07-17 14:14:33,35.78,113.35,True
2026-07-17 14:14:34,36.14,114.84,True
2026-07-17 14:14:35,36.65,116.23,True
2026-07-17 14:14:36,37.09,117.55,True
2026-07-17 14:14:37,37.4,119.12,True
2026-07-17 14:14:38,37.7,120.83,True
2026-07-17 14:14:39,38.09,121.87,True
2026-07-17 14:14:40,38.35,123.24,True
2026-07-17 14:14:41,38.64,124.21,True
2026-07-17 14:14:42,39.11,125.15,True
2026-07-17 14:14:43,39.69,126.2,True
2026-07-17 14:14:44,39.95,127.35,True
2026-07-17 14:14:45,40.55,128.8,True
2026-07-17 14:14:46,40.94,129.94,True
2026-07-17 14:14:47,41.41,131.3,True
2026-07-17 14:14:48,41.99,132.75,True
2026-07-17 14:14:49,42.58,133.81,True
2026-07-17 14:14:50,42.86,135.59,True
2026-07-17 14:14:51,43.29,136.93,True
2026-07-17 14:14:52,43.79,138.14,True
2026-07-17 14:14:53,44.2,138.99,True
2026-07-17 14:14:54,44.77,139.93,True
2026-07-17 14:14:55,45.11,140.96,True
2026-07-17 14:14:56,45.64,142.72,True
2026-07-17 14:14:57,46.07,144.34,True
2026-07-17 14:14:58,46.65,145.46,True
2026-07-17 14:14:59,47.05,146.47,True
2026-07-17 14:15:00,47.6,147.33,True
2026-07-17 14:15:01,48.1,148.48,True
2026-07-17 14:15:02,48.59,149.59,True
2026-07-17 14:15:03,48.9,150.65,True
2026-07-17 14:15:04,49.46,152.02,True
2026-07-17 14:15:05,49.72,153.43,True
2026-07-17 14:15:06,50.22,155.03,True
2026-07-17 14:15:07,50.72,156.27,True
2026-07-17 14:15:08,51.22,157.22,True
2026-07-17 14:15:09,51.55,158.15,True
2026-07-17 14:15:10,51.82,159.17,True
2026-07-17 14:15:11,52.27,160.56,True
2026-07-17 14:15:12,52.73,162.0,True
2026-07-17 14:15:13,53.02,163.27,True
